data_ihsg_2007_2024-2
Date,Open,High,Low,Close,AdjClose,Volume,Inflasi,Kurs Jual,Kurs Beli,Kurs Tengah
7/31/2009,2026.88,2332.76,1992.38,2323.24,2323.15,1109168400,2.71%,10161.85714,10060.80952,10111.33333
8/31/2009,2323.85,2411.9,2271.21,2341.54,2341.45,1728505400,2.75%,10027.5,9927.7,9977.6
9/30/2009,2341.43,2482.85,2272.76,2467.59,2467.5,683017700,2.83%,9950.388889,9851.055556,9900.722222
10/31/2009,2467.9,2559.67,2235.39,2367.7,2367.61,889779700,2.57%,9530,9435.454545,9482.727273
11/30/2009,2365.65,2494.82,2294.56,2415.84,2415.74,988574900,2.41%,9517.2,9422.7,9469.95
12/31/2009,2416.04,2542.5,2413,2534.36,2534.26,599642500,2.78%,9504.85,9410.65,9457.75
1/31/2010,2533.95,2689.77,2532.9,2610.8,2610.69,826873200,3.72%,9321.95,9228.95,9275.45
2/28/2010,2610.59,2613.67,2431.84,2549.03,2548.93,584751200,3.81%,9395.105263,9301.315789,9348.210526
3/31/2010,2548.83,2818.94,2545.89,2777.3,2777.19,813656000,3.43%,9219.681818,9127.772727,9173.727273
4/30/2010,2777.7,2972.92,2777.7,2971.25,2971.14,1055067900,3.91%,9072.333333,8982.333333,9027.333333
5/31/2010,2971.75,2996.42,2502.05,2796.96,2796.85,969715700,4.16%,9229.157895,9137.263158,9183.210526
6/30/2010,2796.66,2981.28,2698.28,2913.68,2913.57,912207900,5.05%,9194,9102.727273,9148.363636
7/31/2010,2912.88,3104.08,2860.91,3069.28,3069.16,821131700,6.22%,9094.454545,9004.454545,9049.454545
8/31/2010,3070.28,3150.16,2959.75,3081.88,3081.76,817268400,6.44%,9016.761905,8926.761905,8971.761905
9/30/2010,3081.49,3524.32,3081.49,3501.3,3501.16,1050575300,5.80%,9020.842105,8930.842105,8975.842105
10/31/2010,3501.2,3667.01,3501.2,3635.32,3635.18,1245736000,5.67%,8972.904762,8882.904762,8927.904762
11/30/2010,3635.52,3777.92,3529.85,3531.21,3531.07,1364755800,6.33%,8983.285714,8893.47619,8938.380952
12/31/2010,3530.93,3788.56,3530.93,3703.51,3703.37,719963100,6.96%,9067.619048,8977.619048,9022.619048
1/31/2011,3704.44,3789.47,3309.62,3409.17,3409.03,687806300,7.02%,9082.380952,8992.380952,9037.380952
2/28/2011,3411.08,3521.63,3336.83,3470.35,3470.21,440027100,6.84%,8957.111111,8868,8912.555556
3/31/2011,3470.63,3683.47,3465.6,3678.67,3678.53,637196600,6.65%,8805.478261,8717.478261,8761.478261
4/30/2011,3679.05,3824.07,3671.18,3819.62,3819.47,641475400,6.16%,8694.3,8608.3,8651.3
5/31/2011,3819.8,3872.95,3760.79,3836.97,3836.82,1188366900,5.98%,8598.8,8512.8,8555.8
6/30/2011,3837.18,3896.16,3704.58,3888.57,3888.42,744731300,5.54%,8607,8521,8564
7/31/2011,3888.2,4177.74,3888.2,4130.8,4130.64,990805400,4.61%,8576.190476,8490.285714,8533.238095
8/31/2011,4131.73,4195.72,3590.94,3841.73,3841.58,1043226400,4.79%,8574.789474,8489.210526,8532
9/30/2011,3842.65,4028.48,3217.95,3549.03,3548.89,706645600,4.61%,8809.45,8721.55,8765.5
10/31/2011,3548.12,3875.11,3256.44,3790.85,3790.7,946848000,4.42%,8939.666667,8850.809524,8895.238095
11/30/2011,3790.11,3859.1,3618.97,3715.08,3714.94,604792900,4.15%,9060.227273,8970.136364,9015.181818
12/31/2011,3715.44,3825.96,3666.25,3821.99,3821.84,642088100,3.79%,9133.761905,9043.190476,9088.47619
1/31/2012,3821.63,4038.78,3797,3941.69,3941.54,742941500,3.65%,9154.761905,9063.52381,9109.142857
2/29/2012,3941.78,4040.08,3838.54,3985.21,3985.05,694776900,3.56%,9070.809524,8980.714286,9025.761905
3/31/2012,3985.03,4129.33,3929.19,4121.55,4121.39,545808900,3.97%,9211.285714,9119.380952,9165.333333
4/30/2012,4121.82,4232.92,4109.32,4180.73,4180.57,815087200,4.50%,9221.5,9129.5,9175.5
5/31/2012,4181.09,4234.73,3810.39,3832.82,3832.67,611510600,4.45%,9336.571429,9243.904762,9290.238095
6/30/2012,3820.38,3971.08,3635.28,3955.58,3955.42,580809300,4.53%,9498.142857,9404.142857,9451.142857
7/31/2012,3976.71,4149.71,3963.47,4142.34,4142.18,521170300,4.56%,9503.590909,9409.590909,9456.590909
8/31/2012,4129.81,4183.03,3978.08,4060.33,4060.17,482237200,4.58%,9547.157895,9452.526316,9499.842105
9/30/2012,4052.89,4272.83,4047.28,4262.56,4262.4,725779600,4.31%,9614.25,9518.45,9566.35
10/31/2012,4249.69,4366.86,4214.52,4350.29,4350.12,828526500,4.61%,9645.136364,9549.136364,9597.136364
11/30/2012,4331.75,4381.75,4255.27,4276.14,4275.97,700773800,4.32%,9675.95,9579.95,9627.95
12/31/2012,4277.19,4340.26,4222.13,4316.69,4316.52,658049900,4.30%,9693.944444,9597.833333,9645.888889
1/31/2013,4322.58,4472.11,4298.61,4453.7,4453.53,778747500,4.57%,9735.571429,9639.095238,9687.333333
2/28/2013,4458.6,4795.79,4457.45,4795.79,4795.6,1186292800,5.31%,9735.05,9638.25,9686.65
3/31/2013,4798.49,4940.99,4721.32,4940.99,4940.79,1128371800,5.90%,9758.105263,9660.736842,9709.421053
4/30/2013,4927.12,5034.07,4856.3,5034.07,5033.88,1010530400,5.57%,9772.954545,9675.136364,9724.045455
5/31/2013,5020.2,5251.3,4907.6,5068.63,5068.43,1067240300,5.47%,9809.909091,9711.909091,9760.909091
6/30/2013,5053.54,5055.83,4373.38,4818.9,4818.71,834560100,5.90%,9931,9832.052632,9881.526316
7/31/2013,4757.18,4815.73,4403.8,4610.38,4610.2,684278500,8.61%,10123.69565,10023.08696,10073.3913
8/31/2013,4618.96,4699.73,3837.74,4195.09,4194.93,669421900,8.79%,10625.27778,10519.72222,10572.5
9/30/2013,4196.72,4791.77,4012.68,4316.18,4316.01,925230400,8.40%,11402.95238,11289.52381,11346.2381
10/31/2013,4314.96,4611.26,4314.96,4510.63,4510.46,730351500,8.32%,11423.85714,11309.95238,11366.90476
11/30/2013,4473.73,4518.65,4202.92,4256.44,4256.27,631131500,8.37%,11671.25,11554.95,11613.1
12/31/2013,4269.08,4331.59,4109.31,4274.18,4274.01,557004700,8.38%,12147.55,12026.65,12087.1
1/31/2014,4294.5,4510.22,4161.19,4418.76,4418.58,580729700,8.22%,12240.55,12118.75,12179.65
2/28/2014,4407,4665.27,4320.78,4620.22,4620.04,699353100,7.75%,11994.75,11875.45,11935.1
3/31/2014,4589.62,4903.5,4567.76,4768.28,4768.09,872846300,7.32%,11484.15,11369.95,11427.05
4/30/2014,4796.16,4933.11,4721.6,4840.15,4839.96,766737100,7.25%,11492.95,11378.55,11435.75
5/31/2014,4845.34,5091.32,4828.22,4893.91,4893.72,624263300,7.32%,11583.72222,11468.16667,11525.94444
6/30/2014,4900.97,4971.95,4835.04,4878.58,4878.39,593998300,6.70%,11952.09524,11833.14286,11892.61905
7/31/2014,4877.65,5165.42,4862.42,5088.8,5088.6,769928200,4.53%,11747.5,11630.61111,11689.05556
8/31/2014,5076.23,5223.98,5043.52,5136.86,5136.66,716518500,3.99%,11765.2381,11648.09524,11706.66667
9/30/2014,5159.94,5262.57,5082.73,5137.58,5137.38,786332000,4.53%,11950.36364,11831.18182,11890.77273
10/31/2014,5148.57,5165.39,4900.72,5089.55,5089.35,759679100,4.83%,12205.56522,12084.17391,12144.86957
11/30/2014,5102.54,5157.08,4965.39,5149.89,5149.69,800435500,6.23%,12219.25,12097.35,12158.3
12/31/2014,5150.38,5226.95,5005.27,5226.95,5226.74,1009883500,8.36%,12500.47619,12376.09524,12438.28571
1/31/2015,5233.8,5325.04,5121.81,5289.4,5289.2,7433927300,6.96%,12641.95238,12516.2381,12579.09524
2/28/2015,5277.15,5464.22,5254.04,5450.29,5450.08,813484700,6.29%,12813.52632,12686.15789,12749.84211
3/31/2015,5452.83,5518.67,5350.47,5518.67,5518.46,998152400,6.38%,13132.09091,13001.54545,13066.81818
4/30/2015,5516.8,5524.04,5015.01,5086.42,5086.23,902189400,6.79%,13012.61905,12882.90476,12947.7619
5/31/2015,5093.33,5347.13,5089.42,5216.38,5216.18,771565700,7.15%,13206.26316,13074.78947,13140.52632
6/30/2015,5212.13,5215.55,4826.13,4910.66,4910.47,4025555000,7.26%,13379.95238,13246.52381,13313.2381
7/31/2015,4924.07,4982.91,4711.49,4802.53,4802.34,3981998500,7.26%,13441.78947,13307.78947,13374.78947
8/31/2015,4778.04,4868.07,4111.11,4509.61,4509.43,3426642000,7.18%,13850.7,13712.8,13781.75
9/30/2015,4484.2,4484.79,4033.59,4223.91,4223.74,708305400,6.83%,14468,14324.19048,14396.09524
10/31/2015,4231.41,4696.16,4207.8,4455.18,4455.01,5446914600,6.25%,13864.7619,13726.95238,13795.85714
11/30/2015,4442.42,4621.26,4395.97,4446.46,4446.29,599405500,4.89%,13740.95238,13604.19048,13672.57143
12/31/2015,4504.22,4595.51,4330.76,4593.01,4592.83,2805804100,3.35%,13923.75,13785.45,13854.6
1/31/2016,4580.17,4639.24,4408.8,4615.16,4614.98,2757380500,4.14%,13958.35,13819.75,13889.05
2/29/2016,4620.15,4803.61,4545.14,4770.96,4770.77,636495100,4.42%,13583.2,13448.2,13515.7
3/31/2016,4760.24,4908.26,4757.8,4845.37,4845.18,836282300,4.45%,13259.14286,13127.14286,13193.14286
4/30/2016,4843.39,4920.4,4766.81,4838.58,4838.39,3879495600,3.60%,13245.80952,13113.90476,13179.85714
